file,source_url,source_title,category,retrieved_at
know.txt,https://www.fsa.go.jp/policy/nisa2/know/,NISAを知る：NISA特設ウェブサイト：金融庁,制度概要,2026-09-05
products.txt,https://www.fsa.go.jp/policy/nisa2/products/,つみたて投資枠対象商品：金融庁,対象商品,2026-09-05
question.txt,https://www.fsa.go.jp/policy/nisa2/question/,よくある質問：NISA特設ウェブサイト：金融庁,よくある質問,2026-09-05
